title,text,category,content,word_count,char_count,content_clean
Introduction to Spring Boot,"In this content we present the basic concepts for creating REST APIs using Java and Spring Boot. Controllers, services and dependency injection.",Backend,"Introduction to Spring Boot. In this content we present the basic concepts for creating REST APIs using Java and Spring Boot. Controllers, services and dependency injection.",26,173,introduction spring boot content present basic concepts creating rest apis using java spring boot controllers services dependency injection
Criando APIs com FastAPI,Aprenda a criar APIs REST modernas e rápidas com Python e FastAPI. Inclui validação com Pydantic e documentação automática com Swagger.,Backend,Criando APIs com FastAPI. Aprenda a criar APIs REST modernas e rápidas com Python e FastAPI. Inclui validação com Pydantic e documentação automática com Swagger.,25,161,criando apis fastapi aprenda criar apis rest modernas rápidas python fastapi inclui validação pydantic documentação automática swagger
Node.js e Express na prática,"Construindo servidores e rotas com Node.js e Express. Middleware, roteamento, tratamento de erros e integração com bancos de dados.",Backend,"Node.js e Express na prática. Construindo servidores e rotas com Node.js e Express. Middleware, roteamento, tratamento de erros e integração com bancos de dados.",24,161,node express prática construindo servidores rotas node express middleware roteamento tratamento erros integração bancos dados
Java e Spring MVC,"Desenvolvimento de aplicações web com Java e Spring MVC. Injeção de dependência, camadas de serviço e controllers REST.",Backend,"Java e Spring MVC. Desenvolvimento de aplicações web com Java e Spring MVC. Injeção de dependência, camadas de serviço e controllers REST.",22,138,java spring mvc desenvolvimento aplicações web java spring mvc injeção dependência camadas serviço controllers rest
APIs REST com Django Rest Framework,"Como criar APIs robustas e seguras usando Django Rest Framework, serializers e viewsets em Python.",Backend,"APIs REST com Django Rest Framework. Como criar APIs robustas e seguras usando Django Rest Framework, serializers e viewsets em Python.",21,135,apis rest django rest framework criar apis robustas seguras usando django rest framework serializers viewsets python
Autenticação JWT com Spring Security,Implementando autenticação e autorização com JSON Web Tokens no Spring Boot e Spring Security.,Backend,Autenticação JWT com Spring Security. Implementando autenticação e autorização com JSON Web Tokens no Spring Boot e Spring Security.,19,132,autenticação jwt spring security implementando autenticação autorização json web tokens spring boot spring security
Construindo microserviços com Spring Cloud,"Introdução aos microserviços usando Spring Boot, Spring Cloud Gateway e service discovery.",Backend,"Construindo microserviços com Spring Cloud. Introdução aos microserviços usando Spring Boot, Spring Cloud Gateway e service discovery.",17,134,construindo microserviços spring cloud introdução microserviços usando spring boot spring cloud gateway service discovery
API RESTful com Flask,"Criando uma API simples e eficiente com Flask, blueprints e integração com SQLAlchemy.",Backend,"API RESTful com Flask. Criando uma API simples e eficiente com Flask, blueprints e integração com SQLAlchemy.",17,109,api restful flask criando api simples eficiente flask blueprints integração sqlalchemy
Validação de dados com Pydantic,Como usar Pydantic no FastAPI para validar requests e responses de forma automática e tipada.,Backend,Validação de dados com Pydantic. Como usar Pydantic no FastAPI para validar requests e responses de forma automática e tipada.,20,126,validação dados pydantic usar pydantic fastapi validar requests responses forma automática tipada
Injeção de Dependência no Spring,Entendendo IoC e Dependency Injection no ecossistema Spring Framework com anotações.,Backend,Injeção de Dependência no Spring. Entendendo IoC e Dependency Injection no ecossistema Spring Framework com anotações.,16,118,injeção dependência spring entendendo ioc dependency injection ecossistema spring framework anotações
Criando um CRUD completo com FastAPI,"Passo a passo para criar endpoints de Create, Read, Update e Delete com FastAPI e banco de dados.",Backend,"Criando um CRUD completo com FastAPI. Passo a passo para criar endpoints de Create, Read, Update e Delete com FastAPI e banco de dados.",24,135,criando crud completo fastapi passo passo criar endpoints create read update delete fastapi banco dados
Middlewares no Express.js,Como funcionam os middlewares no Node.js com Express e como criar middlewares personalizados.,Backend,Middlewares no Express.js. Como funcionam os middlewares no Node.js com Express e como criar middlewares personalizados.,16,120,middlewares express funcionam middlewares node express criar middlewares personalizados
Exception Handling em APIs Java,Tratamento global de exceções com @ControllerAdvice no Spring Boot para retornar erros padronizados.,Backend,Exception Handling em APIs Java. Tratamento global de exceções com @ControllerAdvice no Spring Boot para retornar erros padronizados.,18,133,exception handling apis java tratamento global exceções controlleradvice spring boot retornar erros padronizados
Documentação automática de APIs,Gerando documentação Swagger/OpenAPI automaticamente com SpringDoc e FastAPI.,Backend,Documentação automática de APIs. Gerando documentação Swagger/OpenAPI automaticamente com SpringDoc e FastAPI.,12,110,documentação automática apis gerando documentação swagger openapi automaticamente springdoc fastapi
Versionamento de APIs REST,"Estratégias de versionamento de APIs: URI versioning, headers e query parameters.",Backend,"Versionamento de APIs REST. Estratégias de versionamento de APIs: URI versioning, headers e query parameters.",15,109,versionamento apis rest estratégias versionamento apis uri versioning headers query parameters
